#  phi   psi
-96.7161 86.4591
-77.4616 80.8433
-45.3338 73.825
-76.8317 93.5204
-87.9525 78.5154
-79.899 121.562
-61.5849 118.927
-75.6767 85.7662
-73.4516 85.5801
-54.6532 84.6777
-88.2923 93.581
-72.0917 45.4379
-72.2983 90.357
-74.6445 90.3797
-70.5922 112.71
-78.8897 84.2277
-63.1893 56.6223
-56.1851 86.7272
-77.1989 72.4423
-63.8264 84.2456
-76.0225 65.012
-86.3959 71.6216
-77.9084 96.4375
-90.9843 136.986
-69.8514 127.616
-72.2478 116.673
-85.5206 141.631
-66.2821 128.149
-86.2005 131.877
-77.7602 126.768
-99.338 107.367
-95.6019 121.14
-79.5865 135.387
-80.837 129.323
-73.8315 128.578
-75.579 122.855
-83.3764 131.451
-67.6371 122.582
-92.0145 136.297
-70.9467 143.684
-73.8898 125.685
-83.6171 119.558
-88.7438 142.112
-84.9408 135.172
-70.4813 149.555
-74.6356 107.844
-83.6543 122.45
-72.5796 73.6236
-81.5435 63.4215
-78.1552 82.0216
-77.4562 72.6802
-81.9363 70.2699
-79.7651 102.356
-77.9391 85.3438
-68.8448 103.431
-72.8716 87.6417
-85.0838 87.0044
-77.6268 94.9068
-96.8924 85.9536
-89.8177 137.037
-78.2672 152.39
-88.0291 123.003
-90.7931 147.37
-93.3062 136.593
-86.6049 136.265
-85.8496 118.492
-85.1791 137.283
-78.9097 130.886
-83.9411 122.06
-88.4373 156.771
-86.1461 140.614
-60.6746 133.219
-57.3165 131.811
-104.861 121.749
-70.8535 110.154
-90.7576 95.4383
-103.655 111.34
-113.957 132.497
-87.4893 114.511
-68.439 128.24
-71.5581 98.5145
-75.9492 118.69
-76.461 81.5614
-79.5576 89.6501
-84.2057 68.4197
-91.3138 74.5202
-57.7653 79.7814
-66.3592 81.3309
-68.9599 105.258
-72.5763 101.304
-107.6 67.7759
-86.1887 110.405
-95.7621 81.0225
-69.9958 103.347
-67.3234 76.2068
-66.9599 88.2188
-87.6347 79.5761
-86.3062 92.0612
-83.3214 68.3789
-92.6112 82.4073
-81.4236 86.2466
-79.2924 65.4078
-87.2868 75.3606
-75.4108 82.2266
-73.4493 96.88
-80.651 91.1024
-77.7998 70.1621
-81.3741 69.5784
-91.906 83.3736
-79.5038 92.6924
-69.1241 69.0422
-67.4272 71.1111
-83.3652 79.6475
-69.2175 77.0276
-68.4805 87.7253
-75.3483 69.0294
-70.9903 88.2442
-70.0732 68.7398
-80.0831 89.0934
-108.91 121.787
-125.25 131.172
-81.9422 130.245
-82.8379 138.993
-122.276 128.938
-123.883 140.322
-125.379 141.188
-127.456 143.658
-120.136 137.536
-126.159 140.184
-126.508 143.949
-111.342 137.039
-103.641 136.657
-109.939 129.177
-110.745 134.767
-113.518 162.117
-108.059 141.862
-139.925 128.97
-112.052 144.344
-120.201 140.314
-114.401 135.337
-115.964 144.371
-119.273 151.477
-101.429 138.113
-82.6333 141.381
-104.503 137.676
-119.549 134.577
-90.2452 153.063
-98.9499 158.284
-99.5379 147.861
-116.158 150.077
-94.3863 161.22
-88.5913 131.355
-55.2228 146.378
-79.3644 146.83
-83.5305 130.756
-101.395 141.788
-85.2071 133.997
-85.9458 141.038
-117.08 146.902
-89.014 126.339
-82.0894 148.415
-90.3823 161.001
-69.1609 147.799
-69.242 173.705
-119.841 132.12
-82.6916 155.374
-116.461 134.504
-124.141 149.43
-109.303 150.928
-92.82 142.446
-117.647 155.914
-117.191 155.778
-114.803 140.099
-95.4817 157.105
-109.773 149.24
-114.895 148.372
-78.341 141.446
-97.6119 148.321
-123.382 133.467
-111.088 144.032
-90.9044 161.181
-80.6957 139.578
-104.083 152.522
-88.8078 149.181
-109.252 128.672
-86.4431 135.809
-76.8513 140.618
-69.5112 144.138
-94.1773 146.26
-103.644 137.244
-95.7172 135.66
-81.9591 146.334
-88.7697 151.326
-110.496 145.448
-72.512 135.688
-87.2836 141.271
-105.994 153.084
-85.4978 145.462
-75.733 136.16
-117.177 145.56
-110.053 134.289
-80.9541 142.55
-89.2151 146.191
-92.0183 129.445
-105.065 152.144
-93.1484 149.893
-90.3527 148.9
-88.0504 143.719
-59.1137 130.565
-104.051 137.125
-125.182 130.293
-93.2394 157.062
-115.267 149.979
-100.433 133.047
-78.3825 154.654
-86.393 130.941
-77.7577 137.079
-109.854 144.676
-111.105 136.844
-102.975 150.831
-98.091 144.96
-140.063 150.913
-69.6216 138.64
-94.5711 144.826
-64.7991 134.673
-103.514 152.457
-64.6146 146.587
-87.6422 151.373
-92.6883 135.745
-100.121 146.913
-101.505 134.946
-121.134 138.672
-70.1273 134.889
-115.155 144.262
-71.538 152.464
-82.7443 143.272
-84.4277 131.991
-98.2352 163.106
-111.112 140.367
-101.477 119.536
-88.1924 147.225
-83.3338 136.342
-117.65 130.422
-90.1852 154.827
-101.25 127.078
-97.1425 146.892
-114.432 144.726
-121.228 153.191
-97.8214 126.39
-113.461 152.359
-104.827 153.295
-87.8167 142.05
-102.296 145.603
-71.6348 138.383
-111.936 152.627
-101.964 135.138
-90.1813 137.156
-76.0185 148.003
-116.584 155.992
-88.9311 130.133
-76.3328 136.254
-90.4251 138.241
-84.0967 144.501
-82.3315 148.378
-65.6947 155.868
-75.4638 149.266
-63.1203 143.998
-92.5328 139.803
-78.4546 133.089
-73.4365 142.322
-80.8097 136.53
-92.5481 111.664
-52.2093 139.116
-112.375 144.83
-83.9634 141.178
-75.9989 106.133
-84.9152 123.112
-63.9328 143.003
-84.2431 143.212
-87.1739 129.336
-112.201 145.692
-99.1845 145.236
-83.4527 128.177
-76.0702 123.985
-106.356 136.401
-86.0353 154.2
-73.2471 146.909
-67.196 142.344
-98.4312 138.314
-61.8314 141.165
-79.6918 150.02
-68.3185 129.262
-65.9331 135.391
-94.0036 127.326
-69.8302 138.679
-89.6196 138.818
-108.174 122.425
-91.5347 146.851
-140.824 131.938
-117.557 142.019
-113.696 144.818
-135.65 130.776
-77.1207 144.521
-94.3315 127.604
-112.22 130.187
-136.324 141.128
-127.914 131.3
-142.575 125.442
-129.677 142.2
-112.451 135.405
-136.636 145.298
-114.68 125.69
-68.0473 152.445
-95.3663 122.659
-66.2527 121.35
-87.5532 152.897
-78.0922 133.885
-81.4599 130.975
-75.9802 144.088
-75.6594 144.51
-77.3137 138.936
-78.7723 144.33
-69.6838 139.579
-94.8569 123.406
-75.4611 145.459
-93.619 129.741
-72.664 127.362
-94.8274 127.276
-70.4448 127.628
-75.8529 120.202
-74.203 133.186
-81.3351 128.855
-77.2573 137.722
-76.1878 119.505
